Title*,url,Measurement Unit 1 Code,Measurement Unit 2 Code, Cost Formula ,Size 1 Label,Size 2 Label,Description,[C1],[C2],Common Names
Alcoa Camloc Fastener 1/4 turn,https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=6f7273e8-4bf9-4533-a8bf-4225c6b29850&Action=View,[Not Used],[Not Used],4.00,,,,,,
"Bolt, Aluminum",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=ec124acd-3066-4279-bd90-06cc975aedd6&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 255 Mpa. Special varities included (drilled head, locking, etc.).",1.0000000000,0.0050000000,
"Bolt, Grade 10.9 (SAE 8)",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=c604b955-8f50-430f-b5be-49eb7bbad0d3&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 1030 Mpa. Special varities included (drilled head, locking, etc.).",1.0000000000,0.0040000000,
"Bolt, Grade 12.9",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=6bd9e6eb-13a0-4d9e-b553-59b8feed638b&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 1170 Mpa. Special varities included (drilled head, locking, etc.).",1.2500000000,0.0050000000,
"Bolt, Grade 6.8 (SAE 3) and All Grades less than Metric 8.8",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=b095f2d7-363b-4111-ac00-9aa673d9ec3f&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 670 Mpa. Special varities included (drilled head, locking, etc.)",0.6000000000,0.0024000000,
"Bolt, Grade 8.8 (SAE 5)",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=74cc2b79-309b-4aa2-9186-0e83c2c258eb&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 830 Mpa. Special varities included (drilled head, locking, etc.).",0.8000000000,0.0030000000,
"Bolt, Grade AN",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=57f75866-52d0-40d3-aabf-a618b8ca308f&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 830 Mpa. Special varities included (drilled head, locking, etc.).",2.0000000000,0.0200000000,
"Bolt, Grade NAS 12-Point",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=c29000bc-a921-4afc-9dd1-05ef66a95023&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 1240 Mpa. Special varities included (drilled head, locking, etc.).",6.2500000000,0.1000000000,
"Bolt, Grade NAS 6-Point",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=3d71017b-5dfd-401b-b503-e909bc7880f9&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Strength 1100 Mpa. Special varities included (drilled head, locking, etc.).",2.5000000000,0.0400000000,
"Bolt, Shoulder Bolt",https://www.fsaeonline.com/cdsweb/cst/EditFasteners.aspx?CatalogVersion=2132&FastenerID=570a59ec-885a-4392-b121-ed7f2e8855f8&Action=View,mm,mm,"[C1]/105154*Math.pow([Size1],2)*[Size2]*Math.sqrt([Size2])+([C2]*Math.pow(Math.E,0.319*[Size1]))",diameter,length," Special varieties included (drilled head, locking, etc.).",2.0000000000,0.0200000000," stripper bolts, shoulder screws"
