Multiplier Type*,url,Multiplier Title,Multiplier Value,Description
Assembly,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=4d61f58a-d6af-460f-a2ca-66b07573e230&Action=View,Assemble - Length > 0.5m,1.2500000000,
Assembly,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=6caa9006-dd4a-483c-93e2-5ad437a90436&Action=View,Disassemble,0.8000000000, To be used when removing parts or fasteners
Fastener Installation,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=1fa2e95f-fea0-4e6a-8595-6851b14a2f14&Action=View,Fastener Engagement Length > 2D,1.2500000000,
Fastener Installation,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=9abbbacb-461f-400a-9f64-ad0af3e5d0b4&Action=View,Fastener Engagement Length > 4D,1.5000000000,
"Drill, Tap",https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=23a84f19-bd8f-4f1d-b8ef-ecc6c9d8afe8&Action=View,Machine - Hole Length >= 4D,1.5000000000,
"Drill, Tap",https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=0f6b9308-369e-452a-82c3-d114f5ea90de&Action=View,Machine - Hole Length >= 8D,3.0000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=545d6cac-c9b5-471f-b436-d87a19295753&Action=View,Material - Composite,2.0000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=ee18b5b8-4533-4d9b-9064-ac4e8a6d3866&Action=View,Material - Aluminum,1.0000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=13267e32-0b34-4f24-8280-2f57f9cf1e52&Action=View,Material - Brass,0.8000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=f24ba734-819e-46b8-90de-646c118dee5c&Action=View,Material - Bronze,1.3300000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=d7fe848b-1b8d-4db9-9c46-dc0915fbcc58&Action=View,Material - Cast Iron,2.5000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=df42a91e-7938-427b-b1d3-4b36a621bcbf&Action=View,Material - Foam,0.3300000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=3433aabe-1d63-439d-adea-62bb25bbc183&Action=View,Material - Inconel,4.0000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=3a6a5c5d-ebdb-4d5e-a274-1f61eb4c669f&Action=View,Material - Magnesium,0.8000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=03acb45a-c171-46de-b835-18245dd8a665&Action=View,Material - MMC,4.2500000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=3ffba62f-942c-4784-88b1-dc4b566e0d41&Action=View,Material - Nickel,1.3300000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=cc4743ed-45a6-4876-8ae2-49ff2944c0a2&Action=View,Material - Plastic,0.5000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=981a5aea-3c0b-4549-a7a8-2fc12d599887&Action=View,Material - Stainless Steel,3.7500000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=d5902e40-5cd6-4029-9894-509e35a37b1e&Action=View,Material - Steel,3.0000000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=cc92ee76-91e3-4b4f-9a61-1bd45b73e52f&Action=View,Material - Titanium,3.6500000000,
Machining,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=2901c95e-3a5a-45ed-a321-5079eb832106&Action=View,Material - Wood (Hard or soft),0.5000000000,
,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=44df54ff-d836-4188-bd7f-ed300d9cdabe&Action=View,No Multiplier,1.0000000000, Placeholder to multiply by 1x 
,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=bdcc809f-536d-4933-b58c-0ea5f4c4417a&Action=View,Repeat 10,10.0000000000," Optional, to show repetition of processes."
,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=85e29b4a-2807-4010-bfdd-18367503df97&Action=View,Repeat 11,11.0000000000," Optional, to show repetition of process"
,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=43aa09d4-fac8-456b-bd68-30eb4331263f&Action=View,Repeat 12,12.0000000000," Optional, to show repetition of processes."
,https://www.fsaeonline.com/cdsweb/cst/EditProcessMultipliers.aspx?CatalogVersion=2132&ProcessMultiplierID=48351040-9586-4646-8dce-3450121c5ddc&Action=View,Repeat 13,13.0000000000," Optional, to show repetition of processes."
