Title*,url,Supplier,Category,Measurement Unit 1 Code,Measurement Unit 2 Code,Internal Notes, Cost Formula ,Description,[C1],[C2],Size 1 Label,Size 2 Label,Common Names
"90-Degree Coupler, Tilton 72-560",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=2f0f8e63-c799-403f-b105-84d4b8c84b43&Action=View,Tilton,Brake System,[Not Used],[Not Used], These are some notes okay,45,,,,,,
"90-Degree Coupler, Tilton 72-561",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=c89dc20c-20ad-4d6e-b3c4-1635604e97a9&Action=View,Tilton,Brake System,[Not Used],[Not Used],,47.5,,,,,,
"90-Degree Coupler, Tilton 72-562",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=a3fcc02e-1fbb-4e7c-b6a5-1a82d139c1fd&Action=View,Tilton,Brake System,[Not Used],[Not Used],,50,,,,,,
"ABS Kit and ESP Module, Bosch, ESP-9",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=676d39d3-c671-4dad-8c23-b39ac67c5798&Action=View,Bosch,Brake System,[Not Used],[Not Used], AIR from ST RQA http://www.fsaeonline.com/cdsweb/rqa/viewinquiry.aspx?inquirynum=5146&backto=,500, ESP-9 module only. Does not include wiring or external sensors.,,,,,
Accusump,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=94864b9c-4a4f-4d00-bbf8-df56036cdf6a&Action=View,Canton Racing Products,Engine,L,[Not Used],,([C1]*[Size1]+[C2])," Gage not included, include as separate material line item if used on vehicle.",14.3,82.0,,,
"Adapter, Hex Nipple, Brass",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=cdfd2f21-6bad-4d84-89b6-e7c7a0b459fa&Action=View,Any,Plumbing,mm,[Not Used],,[C1]*[Size1]+[C2], Pipe Size,1.1,0.22,,,
"Adapter, Hex Nipple, Reducing, Brass",https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=af4b34b7-3d2b-4cff-85ba-1edc1aa8bd7b&Action=View,Any,Plumbing,mm,[Not Used],,[C1]*[Size1]*[Size2]+[C2], Outlet Pipe Size,0.02,2.23,Inlet Pipe Size,,
Adapter/L.P.///Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=4860d354-23fb-4e81-bc01-185384a89cdc&Action=View,Any,Plumbing,mm,[Not Used],,[C1]*[Size1]+[C2], e.g. AN4 = 4/16 inch = 6.35mm. Low Pressure.,0.176,0.056,Hose Size,,
Adapter/L.P./Barb to Male Pipe/90 Deg./Aluminum/Anodized,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=fc941b08-46b8-41ca-91d6-9a67443c9a70&Action=View,Any,Plumbing,mm,mm,,[C1]*[Size1]*[Size2]+[C2], Low Pressure.,0.048,1.995,Inlet Hose Size,Outlet Pipe Size,
Adapter/L.P./Barb to Male Pipe/Elbow/Plastic,https://www.fsaeonline.com/cdsweb/cst/EditMaterials.aspx?CatalogVersion=2132&MaterialID=5f835335-9b31-400c-a2d7-9430e3970974&Action=View,Any,Plumbing,[Not Used],[Not Used],,0.5, Up to 25.4mm diameter inlet and outlet size. Low Pressure.,,,,,
